,utterance_id,gender,age,speaker_id,expression,manual_transcription,discrete_emotion_collection_phase,discrete_emotion_annotation_phase,valence_annotation_phase,arousal_annotation_phase,split,path,target
0,165,f,adult,35,real,KAD SI REKO SAMO SMIRI SE,anger,anger,2.728208697,8.093269086,train,cres_v2.1/audio_files_16000/165.wav,anger
1,1067,m,adult,305,acted,TO SU MUŠKI RAZGOVORI,neutral,neutral,5.021264532,3.3629534,train,cres_v2.1/audio_files_16000/1067.wav,neutral
2,578,m,adult,181,acted,POGORELCI BEZ RODBINE I OGNJIŠTA MOJ BRAT I JA OSTALI SMO SAMI NA SVIJETU SAMO JE BOG BIO S NAMA,sadness,sadness,3.724303539,4.327596636,train,cres_v2.1/audio_files_16000/578.wav,sadness
3,904,f,adult,302,acted,ZAŠTO,sadness,fear,2.236512797,8.230520308,train,cres_v2.1/audio_files_16000/904.wav,fear
4,448,f,adult,138,real,OVAJ JE IMO NA HAUBI OD TRKAČEG AUTA ROGOVE NEMA SVE SE ZABILJEŽI HAHA UDH SVE OBILJEŽI,happiness,happiness,7.723713406,5.946056583,train,cres_v2.1/audio_files_16000/448.wav,happiness
5,1137,f,adult,334,real,KUPAC OD MERCEDESA TRAŽI ODŠTETU OD GOTOVO DVA MILIJUNA DOLARA,neutral,neutral,4.622419756,3.862769576,train,cres_v2.1/audio_files_16000/1137.wav,neutral
6,240,f,adult,55,real,JA PET GODINA GODINA S NJIM NISAM NEGO ČETIRI MJESECA,anger,anger,4.379801291,4.791601841,train,cres_v2.1/audio_files_16000/240.wav,anger
7,747,f,adult,242,acted,RECI MU DA UMUKNE NIJE NAM DO ZAJEBANCIJE,fear,fear,3.0159143,6.223601108,train,cres_v2.1/audio_files_16000/747.wav,fear
8,410,f,adult,128,acted,ODI LUKICE LJUBAVI DOĐI ,happiness,happiness,7.803692749,2.528338203,train,cres_v2.1/audio_files_16000/410.wav,happiness
9,664,f,adult,201,real,TREBAM JA TRČAT ZA TOBOM,sadness,sadness,3.301485134,6.838433352,train,cres_v2.1/audio_files_16000/664.wav,sadness
10,852,m,adult,285,acted,UDH SUTRA ĆU VAS NABOSTI NA OVU VILJUŠKU,happiness,anger,3.284780268,7.80789427,train,cres_v2.1/audio_files_16000/852.wav,anger
11,787,m,adult,255,acted,ŽIVIO SUDAC ŽIVIO,happiness,happiness,7.633334406,7.732014351,train,cres_v2.1/audio_files_16000/787.wav,happiness
12,819,m,adult,271,acted,A INAČE ME VOLI I POŠTUJE OOO DA ADIE ADIE GOSPODO MOŽDA I PORTOŽUR NIKAD SE NE ZNA,happiness,anger,5.428854041,7.816346097,train,cres_v2.1/audio_files_16000/819.wav,anger
13,237,f,adult,55,real,JA PUCAM JER TI JEDNOM NEŠTO KAŽEM,anger,anger,3.998791138,5.870285943,train,cres_v2.1/audio_files_16000/237.wav,anger
14,642,f,adult,195,acted,VRATI SE KUĆI NE SRAMOTI SVOJU OBITELJ,sadness,sadness,2.279050503,4.745748762,train,cres_v2.1/audio_files_16000/642.wav,sadness
15,606,f,adult,186,real,ALI MOLE TE TVOJA MAMA I SESTRA DA TE TO NE RASTUŽI ŠMRC I DA TI U SVOM ŽIVOTU OKRENEŠ NOVU STRANICU JER ON TE NIJE VRIJEDAN ,sadness,sadness,1.514607328,8.189273964,train,cres_v2.1/audio_files_16000/606.wav,sadness
16,26,m,adult,17,acted,SMIRIT ĆU JA TEBE DVA METRA POD ZEMLJOM,anger,anger,2.298001251,6.749894762,train,cres_v2.1/audio_files_16000/26.wav,anger
17,261,f,adult,60,acted,BJEŽI OD MENE DALJE BAĆIT ĆU SE MAJKEMI NE PRILAZI,anger,anger,2.006290902,8.551664738,train,cres_v2.1/audio_files_16000/261.wav,anger
18,970,f,adult,285,acted,PA KUDA IDE OVAJ SVIJET UDH,sadness,sadness,2.434160137,4.770975127,train,cres_v2.1/audio_files_16000/970.wav,sadness
19,99,m,adult,28,real,JER JA SAM REKAO PA ČOVJEČE KAD OD PRVOG DANA MI SMO USPJELI RJEŠIT SVE I STALNO STALNO VIDIŠ PRIMJERICE U IGRI JUČER AJ RAFO TI NACRTAJ TO E,anger,sadness,3.405316503,5.188435262,train,cres_v2.1/audio_files_16000/99.wav,sadness
20,396,m,adolescent,121,acted,OOO POČELI SMO SE I ŠMINKAT,happiness,happiness,5.694109201,6.536931298,train,cres_v2.1/audio_files_16000/396.wav,happiness
21,126,m,adult,31,acted,A JEBO GA TI JURICA SVE JA KUŽIM KAJ TI HOĆEŠ REĆ,anger,anger,3.311449948,6.855821406,train,cres_v2.1/audio_files_16000/126.wav,anger
22,823,m,adult,269,acted,JA HA A OD POČETKA SAM OVDJE EVO JESTE LI MI VI MMMALOČAS UGAZILI NA NOGU I REKLI KO ČOVJEK PARDON PA EVO JOŠ SE TRAG CIPELE POZNA,happiness,happiness,5.748212403,7.516319495,train,cres_v2.1/audio_files_16000/823.wav,happiness
23,317,m,adult,80,real,A I ZA VATIKAN VELIKO POSTIGNUĆE NAKON PROBLEMA IZAZVANIH RAŠČIŠĆAVANJEM PEDOFILSKIH SKANDALA NEPOKRIVENIM RAČUNIMA VATIKANSKE BANKE ILI ZAVODA ZA VJERSKE POSLOVE ILI POTEZA ZBOG KOJIH SU SE VRIJEĐALI MUSLIMANI I ŽIDOVI ŠTO JE S PRAVOSLAVCIMA S DRUGIM PLUĆNIM KRILOM ISTOGA KRŠČANSTVA KAKO JE PRAVOSLAVCE NAZIVAO POKOJNI PAPA IVAN PAVAO DRUGI VOJTILA NIJE POHODIO MOSKVU IAKO JE HTIO HOĆE LI RACINGER NOVINARKA PARALELA INKA ETEROVIĆ JEDINA JE OD STRANIH TEVE NOVINARA KOJA JE IKAD SNIMALA  U RUSKOM VATIKANU U LAVRI TE RAZGOVARALA I S DRUGIM ČOVJEKOM RUSKE PRAVOSLAVNE CRKVE MITROPOLITOM ILARIJONOM,neutral,neutral,4.360736536,4.583394239,train,cres_v2.1/audio_files_16000/317.wav,neutral
24,119,m,child,30,acted,NEĆU BAŠ NEĆU,anger,anger,2.828293449,8.204451713,train,cres_v2.1/audio_files_16000/119.wav,anger
25,1028,f,adult,295,real,DOŽIVLJAJA NA SNIJEGU JE BILO NA NA TISUĆE,happiness,happiness,8.609996259,6.17003111,train,cres_v2.1/audio_files_16000/1028.wav,happiness
26,33,m,adult,19,acted,A ŠTA SAMO TEBE POSLALO TAKVA PRIJAVA A TI SAM PA DOBRO JESI TI NORMALAN ŠTA SI TI NJIMA NAPISAO U TOJ PRIJAVI,anger,anger,3.248242106,7.115961002,train,cres_v2.1/audio_files_16000/33.wav,anger
27,926,m,adult,262,acted,E ON BI MOGA ON JE BUDALA H HAHA BAŠ BI ON MOGA KUPIT JAPANCU,happiness,happiness,6.622743671,6.054758812,train,cres_v2.1/audio_files_16000/926.wav,happiness
